0.05,0.01,0.05,0.01,0.03,0.02,0.01,0.04,0.01,0.05,0.01,0.02,0.04,0.22,0.2,0.24,0.19,0.29,0.36,0.09,0.14,0.44,0.02,0.1,0.07,0.09,0.1,0.26,0.93,0.2,0.15,0.16,0.33,0.21,0.4,0.24,0.2,0.16,0.37,0.32,0.29,0.31,0.3,0.31,0.28,0.33,0.13,0.11
0.45,0.19,0.09,0.09,0.09,0.09,0.1,0.15,0.14,0.14,0.12,0.09,0.09,0.09,0.09,0.09,0.07,0.06,0.19,0.14,0.14,0.28,0.3,0.2,0.19,0.2,0.31,0.33,0.26,0.24,0.28,0.35,0.4,0.46,0.47,0.39,0.39,0.38,0.33,0.33,0.29,0.26,0.26,0.26,0.28,0.35,0.37,0.35
0.03,0.04,0.02,0.03,0.04,0.02,0.04,0.03,0.02,0.04,0.02,0.03,0.03,0.02,0.08,0.07,0.07,0.1,0.12,0.11,0.07,0.02,0.12,0.23,0.13,0.15,0.11,0.07,0.1,0.12,0.13,0.12,0.1,0.24,0.23,0.28,0.23,0.29,0.21,0.21,0.2,0.19,0.21,0.21,0.1,0.02,0.03,0.03
0.02,0.01,0.03,0.0,0.0,0.02,0.01,0.0,0.0,0.03,0.0,0.0,0.01,0.04,0.27,0.16,0.06,0.01,0.01,0.03,0.0,0.0,0.12,0.1,0.12,0.17,0.24,0.1,0.03,0.03,0.05,0.03,0.12,0.11,0.11,0.13,0.15,0.1,0.1,0.08,0.12,0.15,0.12,0.12,0.15,0.12,0.12,0.17
0.16,0.14,0.09,0.07,0.1,0.1,0.07,0.09,0.11,0.08,0.13,0.18,0.14,0.13,0.16,0.15,0.15,0.29,0.16,0.15,0.2,0.21,0.24,0.17,0.2,0.18,0.16,0.19,0.18,0.15,0.17,0.19,0.27,0.34,0.41,0.42,1.05,1.24,0.43,0.43,0.43,0.45,0.43,0.38,0.4,0.39,0.39,0.39
0.4,0.39,0.44,0.36,0.32,0.52,0.38,0.36,0.44,0.29,0.25,0.2,0.54,0.35,0.19,0.44,0.23,0.21,0.23,0.26,0.19,0.24,0.39,0.33,0.4,0.45,0.46,0.38,0.4,0.46,0.77,0.46,0.57,1.58,1.28,1.32,0.94,0.65,0.66,1.24,1.2,0.95,0.59,1.31,1.43,1.05,0.65,0.7
0.06,0.23,0.26,0.16,0.11,0.1,0.1,0.09,0.11,0.11,0.09,0.1,0.09,0.11,0.1,0.09,0.1,0.1,0.09,0.06,0.09,0.06,0.08,0.04,0.17,0.16,0.28,0.24,0.21,0.22,0.24,0.26,0.35,0.26,0.27,0.14,0.09,0.07,0.08,0.08,0.27,0.33,0.31,0.32,0.31,0.34,0.3,0.28
0.31,0.27,0.11,0.27,0.24,0.13,0.27,0.11,0.23,0.11,0.24,0.1,0.12,0.26,0.3,0.49,0.33,0.34,0.32,0.38,0.3,0.43,0.33,0.46,0.49,0.4,0.47,0.45,0.62,0.5,0.21,0.33,0.5,0.61,0.61,0.56,0.3,0.35,0.33,0.37,0.39,0.39,0.4,0.41,0.65,0.44,0.43,0.51
0.24,0.28,0.35,0.24,0.41,0.24,0.27,0.37,0.24,0.36,0.26,0.32,0.28,1.9,1.11,0.99,0.78,0.86,0.69,1.08,1.11,1.21,0.66,0.57,0.66,0.59,0.68,0.69,0.61,1.45,0.53,0.52,0.55,0.69,1.58,0.69,0.77,0.78,1.03,1.43,0.64,0.64,0.52,0.43,0.34,0.34,0.28,0.31
0.04,0.03,0.03,0.04,0.02,0.03,0.03,0.04,0.03,0.02,0.04,0.03,0.03,0.03,0.04,0.02,0.03,0.24,0.09,0.07,0.1,0.05,0.26,0.04,1.06,0.13,0.04,0.03,0.04,0.04,0.02,0.03,0.03,0.03,0.04,0.04,0.2,0.91,0.18,0.15,0.13,0.04,0.04,0.05,0.04,0.03,0.03,0.02
