Element, Nterminals, Nconductors, P_1, Q_1, ...
"Load.d858_834sa", 1, 2,    1.28391, -0.0636789,   0.716085,    1.06368
"Load.d858_834ra", 1, 2,    1.28377, -0.0632667,   0.716224,    1.06327
"Load.d858_834sb", 1, 2,    4.93288,  -0.173402,    2.56711,     4.1734
"Load.d858_834rb", 1, 2,    4.93206,  -0.172699,    2.56793,     4.1727
"Load.d858_834sc", 1, 2,    4.25293,  -0.164216,    2.24707,    3.66421
"Load.d858_834rc", 1, 2,    4.25413,  -0.166208,    2.24586,     3.6662
"Load.d834_860sa", 1, 2,    5.63209,  -0.277559,    3.14217,    4.66469
"Load.d834_860ra", 1, 2,    5.62783,  -0.277064,    3.14005,    4.66101
"Load.d834_860sb", 1, 2,    6.92925,  -0.425373,    3.76553,    5.77276
"Load.d834_860rb", 1, 2,    6.92407,  -0.424952,    3.76306,    5.76852
"Load.d834_860sc", 1, 2,    37.7987,   -2.62531,    20.9668,    32.0081
"Load.d834_860rc", 1, 2,    37.7692,   -2.62577,    20.9469,    31.9838
"Load.d860_836sa", 1, 2,    9.62802,  -0.473997,    5.37196,    7.97399
"Load.d860_836ra", 1, 2,    9.62867,  -0.473389,    5.37132,    7.97339
"Load.d860_836sb", 1, 2,    3.38493,   0.052388,    1.61507,    2.94761
"Load.d860_836rb", 1, 2,    3.38459,  0.0521581,    1.61541,    2.94784
"Load.d860_836sc", 1, 2,    13.6548,  -0.690756,    7.34517,    11.6907
"Load.d860_836rc", 1, 2,    13.6553,  -0.690801,    7.34467,    11.6908
"Load.d836_840sa", 1, 2,     6.0466,  -0.297278,    3.37307,    5.00712
"Load.d836_840ra", 1, 2,    6.04647,  -0.297266,    3.37296,    5.00698
"Load.d836_840sb", 1, 2,    7.36502,  -0.452505,    4.00388,    6.13696
"Load.d836_840rb", 1, 2,     7.3648,  -0.452526,    4.00377,    6.13681
"Load.d862_838sb", 1, 2,         14,          7,          0,          0
"Load.d862_838rb", 1, 2,         14,          7,          0,          0
"Load.d842_844sa", 1, 2,        4.5,        2.5,          0,          0
"Load.d842_844ra", 1, 2,        4.5,        2.5,          0,          0
"Load.d844_846sb", 1, 2,       12.5,          6,          0,          0
"Load.d844_846rb", 1, 2,       12.5,          6,          0,          0
"Load.d844_846sc", 1, 2,    9.99999,        5.5,          0,          0
"Load.d844_846rc", 1, 2,    9.99999,        5.5,          0,          0
"Load.d846_848sb", 1, 2,       11.5,        5.5,          0,          0
"Load.d846_848rb", 1, 2,       11.5,        5.5,          0,          0
