"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "0.416 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "Aux26", "0.416 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "Aux27", "0.416 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "Aux28", "0.416 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "Aux29", "0.416 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25", "Aux30"
0.4, 32.364, 10.5842, 43.4518, 45.7188, 32.0467, 10.5333, 43.0531, 45.319, 0, 0, 0, 0, 0.317291, 0.0509602, 0.420227, 0.0688429, 0.317291, 0.0509602, 0, 0, 0.420227, 0, 0.317291, 0, 0.277767, 0.0395234, 0.317291, 0, 0, 0, 0, 0, 0.317291, 0, 0, 0, 0, 0, 0, 0.317291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32.0467, 0, 0, 0, 0, 0, 0
0.416667, 31.8289, 10.419, 43.4518, 45.7188, 31.5589, 10.3729, 43.0531, 45.319, 0, 0, 0, 0, 0.270029, 0.0460352, 0.420227, 0.0688429, 0.270029, 0.0460352, 0, 0, 0.420227, 0, 0.270029, 0, 0.251859, 0.0181704, 0.270029, 0, 0, 0, 0, 0, 0.270029, 0, 0, 0, 0, 0, 0, 0.270029, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.5589, 0, 0, 0, 0, 0, 0
0.433333, 32.0428, 10.4904, 43.4518, 45.7188, 31.7745, 10.4437, 43.0531, 45.319, 0, 0, 0, 0, 0.268067, 0.0463551, 0.420227, 0.0688429, 0.268067, 0.0463551, 0, 0, 0.420227, 0, 0.268067, 0, 0.255967, 0.0121005, 0.268067, 0, 0, 0, 0, 0, 0.268067, 0, 0, 0, 0, 0, 0, 0.268067, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.7745, 0, 0, 0, 0, 0, 0
0.45, 38.8616, 12.709, 43.4518, 45.7188, 38.4713, 12.6449, 43.0531, 45.319, 0, 0, 0, 0, 0.390365, 0.0641248, 0.420227, 0.0688429, 0.390365, 0.0641248, 0, 0, 0.420227, 0, 0.390365, 0, 0.356601, 0.0337644, 0.390365, 0, 0, 0, 0, 0, 0.390365, 0, 0, 0, 0, 0, 0, 0.390365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38.4713, 0, 0, 0, 0, 0, 0
0.466667, 32.0953, 10.4895, 43.4518, 45.7188, 31.7588, 10.4386, 43.0531, 45.319, 0, 0, 0, 0, 0.336572, 0.0509023, 0.420227, 0.0688429, 0.336572, 0.0509023, 0, 0, 0.420227, 0, 0.336572, 0, 0.267458, 0.0691144, 0.336572, 0, 0, 0, 0, 0, 0.336572, 0, 0, 0, 0, 0, 0, 0.336572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.7588, 0, 0, 0, 0, 0, 0
0.483333, 32.8436, 10.7465, 43.4518, 45.7188, 32.5495, 10.6985, 43.0531, 45.319, 0, 0, 0, 0, 0.294085, 0.0480291, 0.420227, 0.0688429, 0.294085, 0.0480291, 0, 0, 0.420227, 0, 0.294085, 0, 0.263407, 0.0306783, 0.294085, 0, 0, 0, 0, 0, 0.294085, 0, 0, 0, 0, 0, 0, 0.294085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32.5495, 0, 0, 0, 0, 0, 0
0.5, 31.3942, 10.2722, 43.4518, 45.7188, 31.1166, 10.2275, 43.0531, 45.319, 0, 0, 0, 0, 0.277647, 0.0446329, 0.420227, 0.0688429, 0.277647, 0.0446329, 0, 0, 0.420227, 0, 0.277647, 0, 0.240278, 0.0373683, 0.277647, 0, 0, 0, 0, 0, 0.277647, 0, 0, 0, 0, 0, 0, 0.277647, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.1166, 0, 0, 0, 0, 0, 0
0.516667, 36.4652, 11.9249, 43.4518, 45.7188, 36.0828, 11.8599, 43.0531, 45.319, 0, 0, 0, 0, 0.382355, 0.0650712, 0.420227, 0.0688429, 0.382355, 0.0650712, 0, 0, 0.420227, 0, 0.382355, 0, 0.345035, 0.0373206, 0.382355, 0, 0, 0, 0, 0, 0.382355, 0, 0, 0, 0, 0, 0, 0.382355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36.0828, 0, 0, 0, 0, 0, 0
0.533333, 32.6643, 10.6945, 43.4518, 45.7188, 32.4104, 10.6528, 43.0531, 45.319, 0, 0, 0, 0, 0.253841, 0.0416995, 0.420227, 0.0688429, 0.253841, 0.0416995, 0, 0, 0.420227, 0, 0.253841, 0, 0.231864, 0.0219767, 0.253841, 0, 0, 0, 0, 0, 0.253841, 0, 0, 0, 0, 0, 0, 0.253841, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32.4104, 0, 0, 0, 0, 0, 0
0.55, 39.7299, 12.9837, 43.4518, 45.7188, 39.3054, 12.9191, 43.0531, 45.319, 0, 0, 0, 0, 0.42448, 0.064623, 0.42448, 0.0688429, 0.42448, 0.064623, 0, 0, 0.42448, 0, 0.42448, 0, 0.355623, 0.0688564, 0.42448, 0, 0, 0, 0, 0, 0.42448, 0, 0, 0, 0, 0, 0, 0.42448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39.3054, 0, 0, 0, 0, 0, 0
0.566667, 34.1584, 11.1641, 43.4518, 45.7188, 33.7899, 11.1062, 43.0531, 45.319, 0, 0, 0, 0, 0.368549, 0.0578651, 0.42448, 0.0688429, 0.368549, 0.0578651, 0, 0, 0.42448, 0, 0.368549, 0, 0.304421, 0.0641286, 0.368549, 0, 0, 0, 0, 0, 0.368549, 0, 0, 0, 0, 0, 0, 0.368549, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33.7899, 0, 0, 0, 0, 0, 0
0.583333, 31.3233, 10.2562, 43.4518, 45.7188, 31.0728, 10.2131, 43.0531, 45.319, 0, 0, 0, 0, 0.250494, 0.0430061, 0.42448, 0.0688429, 0.250494, 0.0430061, 0, 0, 0.42448, 0, 0.250494, 0, 0.238092, 0.0124012, 0.250494, 0, 0, 0, 0, 0, 0.250494, 0, 0, 0, 0, 0, 0, 0.250494, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.0728, 0, 0, 0, 0, 0, 0
