load flattening,loss minimising,pusedo optimal,uncontrolled,total Load
369.8317085560007,362.8160963622663,604.245371316,604.245371316,53448.02538144394
382.5949996470003,372.73441129518955,644.5746910280006,644.5746910280006,51310.94862035302
466.8876376900009,454.6021989242006,782.4885763000007,782.4885763000007,58083.80529231001
426.4674661300003,418.02793521207616,663.4652442000008,663.4652442000008,55536.29870386997
336.4235352129998,330.7219313026613,569.1483523539997,569.1483523539997,48055.20115478701
567.1589660570003,541.3441560222732,986.5016404399994,986.5016404399994,62327.70073394305
530.7578916700004,509.5738960129713,831.6011151539985,831.6011151539985,59884.90999833013
374.24398538,365.59841955698164,687.1483386999996,687.1483386999996,51505.608934620024
434.26301291999954,425.7450348640783,728.6696488000002,728.6696488000002,53137.21917708002
445.5527009899989,435.9927351105082,743.5735129999988,743.5735129999988,54793.71237900997
602.0278389529994,593.8542293948384,898.1506486560005,898.1506486560005,64853.48296104706
415.3881617009997,409.4402315241814,704.5792916179994,704.5792916179994,53925.74083829902
439.48174821999976,429.7393687472891,714.1129792000012,714.1129792000012,54424.69618178001
480.16742170199973,467.7613007565464,798.7502385600001,798.7502385600001,58590.54410829809
366.4993505199998,360.1407625785596,640.3075425000007,640.3075425000007,51721.98756947999
488.74272676000015,482.0639948121758,849.5941867150005,849.5941867150005,60754.91340324005
402.11543836000004,393.4049027859588,657.9900593799998,657.9900593799998,56676.64153163999
413.4310404400003,403.2650200597035,621.5388080899997,621.5388080899997,55536.15441956002
600.4140480100001,591.0775652957199,956.4150793200013,956.4150793200013,62683.52898198994
392.13781769100046,383.05507982500336,632.8054462299998,632.8054462299998,51873.838242309044
380.25425438000093,374.2346513801919,626.7103042000003,626.7103042000003,53606.384715619926
499.3495706559987,486.471829495591,773.7444957279993,773.7444957279993,57445.299139343966
355.8743326900007,343.6670390433594,639.2104484999995,639.2104484999995,49286.84718730999
534.882720547,515.6808142396841,826.005312518,826.005312518,56402.25103945295
