LA,Headroom (%),No. Networks
E08000006,39.39179635294836,244.37154989384288
E07000208,39.07785297860342,67.42038216560509
E07000095,39.060700590313914,86.16772823779193
E07000107,38.8534821306886,94.14649681528662
E07000148,37.72930343663045,138.27813163481954
E07000048,36.56714535696797,50.45859872611465
E07000008,35.04398216705847,112.10828025477707
E07000174,33.91652846299034,103.43312101910828
E09000019,33.7839083434017,219.77707006369425
E07000150,33.50021061235712,60.79405520169851
E09000022,32.399404106592726,296.70063694267515
E07000224,31.376709443536583,157.25477707006368
E07000130,30.78226968761668,154.42675159235668
E06000043,30.306678143373226,270.85138004246284
E09000014,29.83923543364378,229.76220806794055
E06000034,29.810309103445885,143.75583864118897
E09000028,28.718834229354513,286.27176220806797
E09000023,28.638990921141172,267.1634819532909
E07000102,28.404602323040674,79.14649681528662
E09000006,28.345162976226188,295.96390658174096
E09000013,27.692731295343613,182.0403397027601
E07000217,26.89695279339363,89.54989384288747
E09000011,26.634567499351462,239.2632696390658
E07000213,26.091884359903375,89.86624203821655
E09000012,25.883592124771326,230.2271762208068
E08000012,24.38005625912455,458.5031847133758
E07000062,23.738301813964696,91.48832271762208
E07000069,23.48886209884968,80.20169851380042
E06000016,23.149366111434045,282.1019108280255
E07000129,22.82537469690365,88.67515923566879
E07000219,22.738969113150915,120.276008492569
E07000098,22.37731516186433,90.99150743099787
E07000073,22.31000433370674,78.26114649681529
E07000192,22.15656805980447,90.33545647558387
E06000044,20.562981589189647,192.49256900212313
E06000010,20.134463139167867,255.0488322717622
E09000025,19.035116766892887,236.0403397027601
E06000018,18.519863077105818,278.53927813163483
E06000026,17.162692717420523,251.36305732484075
E06000028,17.149701299881972,189.83864118895966
E07000211,17.040822637660437,127.11677282377919
E07000096,16.32932533192018,135.16985138004247
E06000015,16.32250499437063,232.6751592356688
E09000010,14.775715427506134,267.50955414012736
E09000032,14.317751474295084,303.0084925690021
E07000178,13.51945476518331,123.50530785562633
E09000007,13.3809246450157,220.18895966029723
E09000002,13.052961988856243,159.65817409766456
E08000025,12.28214000586396,911.9426751592357
E09000030,11.878453827916564,258.2229299363057
E08000026,11.700187174207418,294.4437367303609
E09000031,11.638269224753074,216.25477707006368
E07000088,11.438031480938337,79.50530785562633
E08000029,10.828159501130065,193.23566878980893
E06000032,10.434602838364555,165.69214437367305
E06000009,10.240519936126011,142.29511677282377
E07000212,10.04486774447801,73.02335456475583
E09000008,9.440973631827482,327.7643312101911
E09000005,9.400710271895708,250.95753715498938
E08000003,8.14520209906357,470.3949044585987
E07000081,8.123894465387597,118.95966029723992
E06000045,7.41904641788403,227.87685774946922
E07000207,6.014366903697515,120.19108280254777
E09000009,5.974686815554702,282.5987261146497
E09000003,5.707477955496496,314.18471337579615
E06000023,5.40853573128005,419.23991507431
E09000018,3.4939001823358367,216.06794055201698
E07000237,2.9522902826393076,96.28662420382166
E08000031,2.6334936463124508,229.42675159235668
E09000026,1.9531796381861606,217.3375796178344
E09000029,1.6884478484925958,175.51167728237792
E09000024,0.15425487574971436,177.9087048832272
E09000027,0.019854771084855397,178.89596602972398
E09000015,-0.6641034913568836,190.54352441613588
E08000021,-1.3099026735026786,270.00424628450105
